Mouse,Test Date,Mouse Weight (g) (Sinica Measurement),Mouse Weight (g) (Own Measurement),Dexmedetomidine Dose ,Starting Isoflurane Concentration ,Respiration Rate (breaths/min),T2w,TR/TE,FOV (mm),Matrix Size,Slice Thickness (mm),No. of Slices,Averages,rs-fMRI,TR/TE,FOV,Matrix Size,Slice Thickness (mm),No. of Slices,Averages,Isoflurane Concentration ,Respiration Rate (breaths/min),DTI,TR/TE,FOV,Matrix Size,Slice Thickness (mm),No. of Slices,Averages,b-values,Directions,Isoflurane Concentration ,Respiration Rate (breaths/min),Notes
1,2026/6/22,27.05,,"Bolus: 0.0676 ml, Continuous Pump: 0.135ml/h (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",1-1.5%,8X-9X,,2620/41.5 ,20x20,360x360,0.6,20,6,,2000/15 ,20x20,80x80,0.6,20,1,0,"9X-11X, 10X-13X",,2300/40 ,20x20,128x128,0.6,18,5,"b=1000, b=2000",20 each,1.5-3%,4X-5X,
6,2026/6/22,27.35,,"Bolus: 0.0684 ml, Continuous Pump: 0.137ml/h  (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",1.5-2%,7X-8X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0,"8X-11X, 9X-11X",,//,//,//,//,//,//,//,//,?%,4X-5X,"After turning on the isoflurane for the DWI scan, its breathing was messy"
11,2026/6/22,28.3,,"Bolus: 0.0708 ml, Continuous Pump: 0.142ml/h (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",0% (breathing was slow),1X-3X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0,"4X-6X, 2X-7X",,//,//,//,//,//,//,//,//,?%,4X-5X,"Breathing was irregular - dropped sharply after bolus injection and with administration of isoflurane, stopped breathing temporarily, redo at a later date"
2,2026/6/23,26.5,,"Bolus: 0.06625 ml, Continuous Pump: 0.1325 ml/h (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",1%,7X-9X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0%,"8X-9X, 8X-9X",,//,//,//,//,//,//,//,//,?%,4X-5X,Breathing was irregular during the first fMRI scan
7,2026/6/23,27.5,,"Bolus: 0.06875 ml, Continuous Pump: 0.1375 ml/h (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",0.50%,8X-9X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0.00%,"9X-10X, 9X-10X",,//,//,//,//,//,//,//,//,?%,4X-5X,
12,2026/6/23,25.3,,"Bolus: 0.06325 ml, Continuous Pump: 0.1265 ml/h (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",0% (breathing was slow),4X-7X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0,"6X-7X, 6X-7X",,//,//,//,//,//,//,//,//,?%,4X-5X,
3,2026/6/24,28.9,,"Bolus: 0.06625 ml, Continuous Pump: 0.1325 ml (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",0.5-1%,7X-9X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0,"7X-9X, 8X-9X",,//,//,//,//,//,//,//,//,,4X-5X,Numbers were switched up during the scan - #3 is actually mouse #13
8,2026/6/24,26.95,,"Bolus: 0.067375 ml, Continuous Pump: 0.13475 ml (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",0.5-1%,8X-9X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0,"10X-11X, 11X-12X",,//,//,//,//,//,//,//,//,,4X-5X,
13,2026/6/24,27.5,,"Bolus: 0.06875 ml, Continuous Pump: 0.1375 ml (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",1.5-2%,8X-9X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0,"9X-10X, 10X",,//,//,//,//,//,//,//,//,,4X-5X,Numbers were switched up during the scan - #13 is actually mouse #3
4,2026/6/25,28.1,29.3,"Bolus: 0.07025 ml, Continuous Pump: 0.1405  ml (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",0-0.75,7X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0,"7X, 7X",,//,//,//,//,//,//,//,//,,4X-5X,Uber driver's car smelled like cat - possible stressor for mice
9,2026/6/25,25.85,26.4,"Bolus: 0.06425 ml, Continuous Pump: 0.12925  ml (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",0.25-0.75%,7X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0,"7X-8X, 8X",,//,//,//,//,//,//,//,//,,4X-5X,Uber driver's car smelled like cat - possible stressor for mice
14,2026/6/25,27.5,28,"Bolus: 0.06875 ml, Continuous Pump: 0.1375  ml (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",1.5-2%,7X-8X,,//,//,//,//,//,//,//,//,//,//,//,//,//,"1.0-1.5%, 0.5-1%","9X-17X, 11X-12X",,//,//,//,//,//,//,//,//,,4X-5X,"Uber driver's car smelled like cat - possible stressor for mice. fMRI 1st scan - in the last 1 minute, breathing became very quick so isoflurane was turned on. It was kept on (but dropped lower) during the second scan as well to stabilize."
5,2026/7/1,,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On 2026/6/29, this mouse was behaving strangely- lying down and not moving for long periods of time - possibly sick. The next day it seemingly recovered completely. Need to continue to monitor it."
10,2026/7/1,,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2026/7/1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
